Bike Model,Category,Sub-Category,Part Number,Description,Price,Stock
HAYATE,Body & Frame,Body Covers,94510-23J00-000,BRACE| COWLING (GE110(HAYATE)) a-6-2,A-4-19,0
HAYATE,Body & Frame,Frame & Stand,42100-23J10-000,STAND| CENTER (GE110(Hayate)) A-2-5,D-7-33,1
HAYATE,Braking & Suspension,Brakes,57300-28G40-000,LEVER ASSY| BRAKE (GE110(Hayate)) A-5-3,,0
HAYATE,Braking & Suspension,Wheels & Tires,,WHEEL-HYDROLICK LOCK HAYATE EP,,2
HAYATE,Electrical,Lighting,35712-23J00-000,LENS (GE110(HAYATE)) A-1-2,C-7-24,4
HAYATE,Others,General,,HAYATE 317 NO TYRE,,0
HAYATE,Others,General,,HAYATE EP CYLENCER ZALY,,10
HAYATE,Others,General,,HAYATE REAR TYRE(MRF)80/100/117,,2
HAYATE,Others,General,,HAYATE REAR TYRE(TORINO)80/100/117,,0
