Bike Model,Category,Sub-Category,Part Number,Description,Price,Stock
250CC,Body & Frame,Body Covers,4622,250CC MS HYDROLIC COVER(BLACK),,26
250CC,Others,General,3599,250CC  ENGINBE GUARD,,23
